LineNo,TimeUS,Status,GMS,GWk,NSats,HDop,Lat,Lng,Alt,Spd,GCrs,VZ,U
10191,2666879633,3,466031200,1949,9,1,47.4985943,19.1990732,148.49,0.3721559,300.6997,-0.12,1
10255,2667079689,3,466031400,1949,9,1,47.4985946,19.1990724,148.51,0.3764306,309.6107,-0.17,1
10317,2667279571,3,466031600,1949,9,1,47.4985949,19.1990717,148.53,0.2418677,299.7449,-0.14,1
10381,2667479646,3,466031800,1949,9,1,47.498595,19.1990712,148.54,0.14,270,0.06,1
10445,2667699374,3,466032000,1949,9,1,47.4985951,19.199071,148.51,0.15,323.1301,-0.07,1
10507,2667879709,3,466032200,1949,9,1,47.4985954,19.1990709,148.51,0.1702939,356.6335,0.07,1
10569,2668079871,3,466032400,1949,9,1,47.4985956,19.199071,148.49,0.1,36.8699,0.03,1
10632,2668279553,3,466032600,1949,9,1,47.4985956,19.1990711,148.42,0.02236068,26.56505,-0.03,1
10696,2668479633,3,466032800,1949,9,1,47.4985953,19.1990713,148.38,0.2416609,155.556,0.07,1
10758,2668680099,3,466033000,1949,9,1,47.4985949,19.1990716,148.36,0.1838478,157.6199,0.05,1
10821,2668879797,3,466033200,1949,9,1,47.4985945,19.1990715,148.38,0.2789265,194.5345,0.05,1
10884,2669079627,3,466033400,1949,9,1,47.4985941,19.1990714,148.36,0.13,202.6199,-0.03,1
10947,2669279497,3,466033600,1949,9,1,47.4985938,19.1990714,148.33,0.2088061,196.6992,-0.07,1
11011,2669479716,3,466033800,1949,9,1,47.4985934,19.1990711,148.33,0.2483948,220.1009,-0.06,1
11075,2669679529,3,466034000,1949,9,1,47.4985932,19.1990706,148.38,0.2408319,274.7636,-0.09,1
11137,2669879787,3,466034200,1949,9,1,47.498593,19.1990701,148.41,0.2906888,220.8151,-0.09999999,1
11199,2670079837,3,466034400,1949,9,1,47.4985926,19.1990695,148.49,0.286531,240.7512,-0.25,1
11261,2670279803,3,466034600,1949,9,1,47.4985923,19.199069,148.51,0.2745906,236.8887,-0.13,1
11325,2670479739,3,466034800,1949,9,1,47.4985921,19.1990685,148.5,0.3008322,254.5779,0.02,1
11389,2670679515,3,466035000,1949,9,1,47.498592,19.1990679,148.53,0.1431782,282.0948,-0.02,1
11451,2670879838,3,466035200,1949,9,1,47.4985918,19.1990677,148.51,0.1708801,200.5561,-0.09999999,1
11513,2671079500,3,466035400,1949,9,1,47.4985916,19.1990677,148.49,0.04242641,135,0.06,1
11575,2671279628,3,466035600,1949,9,1,47.4985914,19.1990678,148.46,0.1004988,174.2894,0.07,1
11639,2671479868,3,466035800,1949,9,1,47.4985914,19.1990677,148.55,0.11,0,-0.15,1
11701,2671679725,3,466036000,1949,9,1,47.4985913,19.1990678,148.58,0.2059126,150.9454,0.03,1
11765,2671879633,3,466036200,1949,9,1,47.498591,19.1990682,148.63,0.2376973,112.249,-0.03,1
11827,2672079456,3,466036400,1949,9,1,47.4985908,19.1990688,148.61,0.2408319,85.23635,-0.01,1
11891,2672279548,3,466036600,1949,9,1,47.4985909,19.1990691,148.61,0.08544003,339.444,-0.13,1
11955,2672479616,3,466036800,1949,9,1,47.4985909,19.1990692,148.58,0.05385165,21.80141,0.07,1
12017,2672679692,3,466037000,1949,9,1,47.4985909,19.1990693,148.54,0.03162277,18.43495,0.14,1
12079,2672879658,3,466037200,1949,9,1,47.498591,19.1990694,148.46,0.2184033,344.0546,0.38,1
12141,2673079615,3,466037400,1949,9,1,47.4985914,19.1990692,148.37,0.2376973,345.3791,0.62,1
12206,2673279650,3,466037600,1949,9,1,47.4985917,19.1990695,148.14,0.3361547,30.37913,0.81,1
12270,2673479546,3,466037800,1949,9,1,47.498592,19.1990698,147.93,0.1315295,351.2538,0.98,1
12334,2673699814,3,466038000,1949,9,1,47.498592,19.1990698,147.71,0.03162277,198.435,1.14,1
12394,2673879661,3,466038200,1949,9,1,47.4985918,19.1990696,147.41,0.2523886,236.3099,1.41,1
12456,2674079559,3,466038400,1949,9,1,47.4985914,19.1990693,147.15,0.254951,191.3099,1.39,1
12519,2674279715,3,466038600,1949,9,1,47.4985909,19.199069,146.83,0.3687818,220.6013,1.39,1
12583,2674479587,3,466038800,1949,9,1,47.4985905,19.1990684,146.57,0.2801785,214.8245,1.6,1
12645,2674679560,3,466039000,1949,9,1,47.4985901,19.1990681,146.25,0.2193171,226.8476,1.68,1
12710,2674879688,3,466039200,1949,9,1,47.4985898,19.1990678,145.93,0.2154066,201.8014,1.46,1
12772,2675079846,3,466039400,1949,9,1,47.4985895,19.1990674,145.69,0.2360085,233.6156,1.3,1
12834,2675279683,3,466039600,1949,9,1,47.498589,19.1990668,145.44,0.4601087,227.6425,1.11,1
12898,2675479831,3,466039800,1949,9,1,47.4985884,19.1990665,145.51,0.4272002,159.4439,-0.52,1
12962,2675679809,3,466040000,1949,9,1,47.4985881,19.1990667,145.59,0.02,270,0.05,1
13024,2675880098,3,466040200,1949,9,1,47.4985881,19.1990666,145.63,0.01,180,0.02,1
13086,2676080146,3,466040400,1949,9,1,47.4985881,19.1990665,145.62,0.03162277,71.56505,0.11,1
13148,2676279861,3,466040600,1949,9,1,47.4985881,19.1990667,145.6,0.1280625,51.34019,0,1
13213,2676479847,3,466040800,1949,9,1,47.498588,19.1990668,145.51,0.09433981,212.0054,0.09999999,1
13275,2676679780,3,466041000,1949,9,1,47.4985878,19.1990666,145.53,0.12,180,0.04,1
13337,2676880173,3,466041200,1949,9,1,47.4985873,19.1990667,145.52,0.3984972,162.4744,-0.17,1
13401,2677079695,3,466041400,1949,9,1,47.4985859,19.1990666,145.58,1.126144,189.7133,0.12,1
13463,2677279812,3,466041600,1949,9,1,47.4985847,19.1990648,145.53,1.172774,258.6901,0.06,1
13529,2677480121,3,466041800,1949,9,1,47.4985835,19.1990632,145.48,0.9243916,185.5872,0.48,1
13591,2677679639,3,466042000,1949,9,1,47.4985822,19.1990632,145.38,0.6007495,177.1376,0.46,1
13653,2677879741,3,466042200,1949,9,1,47.4985814,19.1990624,145.24,0.6083584,244.6986,0.79,1
13715,2678079682,3,466042400,1949,9,1,47.498581,19.1990624,145.07,0.4920366,127.5686,0.74,1
13778,2678279771,3,466042600,1949,9,1,47.4985813,19.199063,145.04,0.3848376,24.56717,-0.18,1
13842,2678479843,3,466042800,1949,9,1,47.4985832,19.1990625,145.04,1.237619,344.0546,0.07,1
13879,2678660327,3,466043000,1949,9,1,47.4985842,19.1990623,145.03,0.3931921,7.305758,-0.04,1
13968,2678879924,3,466043200,1949,9,1,47.4985836,19.1990625,144.95,0.6303174,178.1817,0.23,1
14030,2679079655,3,466043400,1949,9,1,47.4985833,19.1990616,144.93,0.4701064,268.7811,0.45,1
14093,2679279820,3,466043600,1949,9,1,47.498583,19.1990604,144.9,0.4810405,226.6847,0.33,1
14132,2679460177,3,466043800,1949,9,1,47.4985822,19.1990601,144.88,0.6041523,167.5741,0.36,1
14219,2679679765,3,466044000,1949,9,1,47.4985812,19.1990593,145.01,1.004639,202.225,0.09999999,1
14259,2959500141,4,466323800,1949,9,0.97,47.4985945,19.1990598,147.33,0.1360147,36.02737,-0.18,1
14321,2959700111,4,466324000,1949,9,0.97,47.4985946,19.1990602,147.24,0.2109502,31.42957,-0.13,1
14381,2959900100,4,466324200,1949,9,0.97,47.4985948,19.1990603,147.23,0.1414213,8.130102,-0.01,1
14441,2960100090,4,466324400,1949,9,0.97,47.4985947,19.1990605,147.18,0.06403124,128.6598,-0.05,1
